x,DE_p
0,0.000172671730021667
0.00078125,1.74734898510387e-05
0.0015625,0.00016424293568329
0.00234375,5.39437718709568e-05
0.003125,0.000164083860077491
0.00390625,9.31803599304448e-05
0.0046875,0.000169845221828169
0.00546875,0.000130479100740599
0.00625,0.000180758730230268
0.00703125,0.000163364534969901
0.0078125,0.000195254000178391
0.00859375,0.000191201143725284
0.009375,0.000211485323206251
0.01015625,0.000214294796262671
0.0109375,0.000227766521090134
0.01171875,0.000233288627636163
0.0125,0.000242832128445336
0.01328125,0.000248797955830993
0.0140625,0.000255919236638924
0.01484375,0.000261279726094799
0.015625,0.000266688709680718
0.01640625,0.00027105294998786
0.0171875,0.000275081988830195
0.01796875,0.000278361577160657
0.01875,0.000281193093591314
0.01953125,0.000283419788181138
0.0203125,0.000285182953353669
0.02109375,0.000286428274449579
0.021875,0.000287229899664454
0.02265625,0.000287571216157079
0.0234375,0.000287501746222163
0.02421875,0.000287005058014489
0.025,0.000286138724833851
0.02578125,0.000284845034463022
0.0265625,0.000283242174368148
0.02734375,0.000281151027959003
0.028125,0.000278867270369298
0.02890625,0.000275912575659509
0.0296875,0.000273018866228769
0.03046875,0.000269033448698996
0.03125,0.000265648082167891
0.03203125,0.000260318738647736
0.0328125,0.000256644260939742
0.03359375,0.00024947048314039
0.034375,0.000245814404575495
0.03515625,0.000236098046057509
0.0359375,0.00023284437754667
0.03671875,0.000219741700847043
0.0375,0.000217246315347253
0.03828125,0.000199890497105004
0.0390625,0.000198309742652891
0.03984375,0.000175957353866663
0.040625,0.000175070163288993
0.04140625,0.000147171062898521
0.0421875,0.000146266649242999
0.04296875,0.000112344011148569
0.04375,0.000110188977457404
0.04453125,6.94106998598842e-05
0.0453125,6.41925649532693e-05
0.04609375,1.45379439103754e-05
0.046875,3.28676770211533e-06
0.04765625,5.93755977874588e-05
0.0484375,8.19244710249523e-05
0.04921875,0.000163893074636823
0.05,0.000189920048058734
