x,DE_p
0,0.0002760825185536
0.0015625,0.000430107442893513
0.003125,7.34824331273254e-05
0.0046875,0.00022497810690747
0.00625,8.25884528177223e-05
0.0078125,0.000196213043707205
0.009375,0.000161787153648341
0.0109375,0.000216625411957994
0.0125,0.000221162077185699
0.0140625,0.000255513578013122
0.015625,0.000272145530423984
0.0171875,0.000298306490642331
0.01875,0.000317864287265435
0.0203125,0.000340054820311519
0.021875,0.000359436274100289
0.0234375,0.000379168289367349
0.025,0.000397367584171637
0.0265625,0.00041519084630548
0.028125,0.000431775149426716
0.0296875,0.000447766483022694
0.03125,0.000462202896859609
0.0328125,0.000476105428019902
0.034375,0.000487323004320195
0.0359375,0.000498708608803078
0.0375,0.000504477452771046
0.0390625,0.000513290902737107
0.040625,0.000508672510403763
0.0421875,0.000516874699694414
0.04375,0.000488814237933899
0.0453125,0.000503550655187257
0.046875,0.000421675434030266
0.0484375,0.000498653112996017
0.05,0.000332868772144668
