x,DE_p
0,0.000258773132547852
0.00078125,9.52321671577883e-05
0.0015625,0.000233658887770605
0.00234375,0.000177106201863175
0.003125,0.00022066364751705
0.00390625,0.000203940986682971
0.0046875,0.000222149918859271
0.00546875,0.000220481011973028
0.00625,0.00023139354231505
0.00703125,0.000236607995394156
0.0078125,0.000247196131051508
0.00859375,0.000256931080356404
0.009375,0.000269451317151281
0.01015625,0.000282552636174493
0.0109375,0.000297371712849381
0.01171875,0.000313067832318437
0.0125,0.0003299416739726
0.01328125,0.000347623172831657
0.0140625,0.000366136876573497
0.01484375,0.000385284088985083
0.015625,0.000405005308253603
0.01640625,0.00042517143906462
0.0171875,0.000445704945181147
0.01796875,0.000466510547064258
0.01875,0.00048751437912764
0.01953125,0.000508641421370637
0.0203125,0.000529827393386251
0.02109375,0.000551011383508659
0.021875,0.00057213897831998
0.02265625,0.000593159653367037
0.0234375,0.000614027220955049
0.02421875,0.000634698676750256
0.025,0.000655133894779891
0.02578125,0.000675294951204664
0.0265625,0.000695145653395901
0.02734375,0.000714651079968487
0.028125,0.000733777125283885
0.02890625,0.000752490160495389
0.0296875,0.000770756734988831
0.03046875,0.000788543105532558
0.03125,0.000805815570344648
0.03203125,0.00082253887129935
0.0328125,0.000838678850394681
0.03359375,0.000854196526667184
0.034375,0.000869058135396283
0.03515625,0.000883216091132288
0.0359375,0.000896639593122806
0.03671875,0.000909260942320134
0.0375,0.000921057828809468
0.03828125,0.000931915731503974
0.0390625,0.000941832779797092
0.03984375,0.000950584008000299
0.040625,0.000958220522721098
0.04140625,0.000964242780608693
0.0421875,0.000968858181966792
0.04296875,0.000970855684162109
0.04375,0.000970913045917787
0.04453125,0.00096603285197161
0.0453125,0.000958320822667669
0.04609375,0.000940299549596957
0.046875,0.000918899484553926
0.04765625,0.000872185083796273
0.0484375,0.000825991292662254
0.04921875,0.000710693083636915
0.05,0.000651336504801536
