 TITLE = "Cavity Iterative Residual History"
 variables="Iteration""Time(s)""Res1""Res2""Res3"
           1   3.0517578125000007E-005  0.99999999037292220       0.99999999898843828       0.99999999902801739     
          10   3.0517578125000005E-004  0.91412793825723027       0.32807053130324321       0.33456272810313886     
          20   6.1035156250000011E-004  0.82378782382303750       0.20827296724858044       0.21520896644081633     
          30   9.1552734375000011E-004  0.76041150660944234       0.15970905109469732       0.16680900228346657     
          40   1.2207031250000002E-003  0.71247313266340162       0.13280909690608725       0.13999666608678213     
          50   1.5258789062500002E-003  0.67416448427160380       0.11552981771363237       0.12276898805051947     
          60   1.8310546875000002E-003  0.64239320806894040       0.10341145343305043       0.11068066755158072     
          70   2.1362304687500004E-003  0.61534157630266195        9.4400258065810511E-002  0.10168492321771865     
          80   2.4414062500000004E-003  0.59185403518068069        8.7412233756018379E-002   9.4701742213192594E-002
          90   2.7465820312500004E-003  0.57115160249947994        8.1818674888084267E-002   8.9104960412002693E-002
         100   3.0517578125000004E-003  0.55268456889610573        7.7228769134883607E-002   8.4505503344809274E-002
         110   3.3569335937500004E-003  0.53605093303107165        7.3386297077750240E-002   8.0648401203284509E-002
         120   3.6621093750000004E-003  0.52094712757015338        7.0116032907782941E-002   7.7359359198514596E-002
         130   3.9672851562500009E-003  0.50713884511476548        6.7293952938866294E-002   7.4515061152445314E-002
         140   4.2724609375000009E-003  0.49444131465428048        6.4829735015082754E-002   7.2025733461636751E-002
         150   4.5776367187500009E-003  0.48270616658243715        6.2655996461875973E-002   6.9824428280588366E-002
         160   4.8828125000000009E-003  0.47181243410767254        6.0721420737182973E-002   6.7860179253566841E-002
         170   5.1879882812500009E-003  0.46166012629881764        5.8986222157370295E-002   6.6093486924365702E-002
         180   5.4931640625000009E-003  0.45216567125859930        5.7419068840974835E-002   6.4493256694902135E-002
         190   5.7983398437500009E-003  0.44325833161025596        5.5994943536447107E-002   6.3034669573719643E-002
         200   6.1035156250000009E-003  0.43487777690991164        5.4693624409993896E-002   6.1697670451237301E-002
         210   6.4086914062500009E-003  0.42697223281226543        5.3498585652991822E-002   6.0465875361339551E-002
         220   6.7138671875000009E-003  0.41949689724317746        5.2396188903899035E-002   5.9325767776641419E-002
         230   7.0190429687500009E-003  0.41241267819965399        5.1375079175199040E-002   5.8266098406057641E-002
         240   7.3242187500000009E-003  0.40568526900015617        5.0425727895388552E-002   5.7277431327999943E-002
         250   7.6293945312500009E-003  0.39928438142086858        4.9540083468034013E-002   5.6351796859598076E-002
         260   7.9345703125000017E-003  0.39318310786199490        4.8711301131982229E-002   5.5482423270221549E-002
         270   8.2397460937500017E-003  0.38735744297913760        4.7933532350797767E-002   5.4663527646678901E-002
         280   8.5449218750000017E-003  0.38178586100082956        4.7201759235674823E-002   5.3890151717032035E-002
         290   8.8500976562500017E-003  0.37644890006103537        4.6511663242872897E-002   5.3158031549647752E-002
         300   9.1552734375000017E-003  0.37132890127778378        4.5859520233130176E-002   5.2463493446322514E-002
